"Date","Open","High","Low","Close","Volume"
"3/30/2010","404.299988","408.049988","398.575012","400","3097160"
"3/31/2010","400","403.625","388.649994","390.325012","7083046"
"4/1/2010","393.174988","404.899994","391.049988","403.899994","5781432"
"4/5/2010","408.5","408.5","399.625","401.674988","3001836"
"4/6/2010","404.450012","404.450012","396.075012","398.024994","3702366"
"4/7/2010","395","404.5","390.575012","399.024994","3024558"
"4/8/2010","398","403.75","395","399.725006","4494438"
"4/9/2010","401","403.950012","394.125","395.799988","3018012"
"4/12/2010","395.5","400","395.049988","399.049988","2869882"
"4/13/2010","400","411.899994","393.625","410.424988","8404916"
"4/15/2010","411","417.450012","409.524994","410.850006","4290952"
"4/16/2010","409.5","414","405.924988","407.549988","3810958"
"4/19/2010","405","412.5","400.375","405.975006","6947704"
"4/20/2010","412.5","416.325012","393.5","394.75","12016986"
"4/21/2010","397.5","399.5","390.125","392.5","7107490"
"4/22/2010","394.549988","396.825012","390.5","392.975006","4751116"
"4/23/2010","394.024994","396","388.75","390.100006","4306068"
"4/26/2010","393","395.5","390.100006","392.549988","2512548"
"4/27/2010","392.975006","394.950012","390.524994","393.649994","2621234"
"4/28/2010","390","391.975006","382.5","385.149994","2400382"
"4/29/2010","387.549988","387.625","377.799988","379.875","4622964"
"4/30/2010","382.5","386.399994","381.274994","382.700012","3690224"
"5/3/2010","380.625","385.700012","377.049988","383.399994","2416560"
"5/4/2010","387.424988","387.424988","378.399994","380.5","2896028"
"5/5/2010","375","384","370.075012","382.875","4371230"
"5/6/2010","383.975006","385.450012","379.600006","383.549988","2580872"
"5/7/2010","378.5","381.299988","367.5","370.700012","4267152"
"5/10/2010","380","421.5","372.5","385.125","2327814"
"5/11/2010","387.5","389.5","376.950012","378.149994","1351288"
"5/12/2010","378.5","383.975006","375.549988","379.725006","2740076"
"5/13/2010","382.549988","386.600006","380.725006","382.799988","1321452"
"5/14/2010","383","388.5","377.5","381.924988","2026996"
"5/17/2010","387.475006","387.475006","367.049988","372.875","3722050"
